                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0236,                 1.4757,                 1.1227,                0.97897,                0.95726,                0.98913,                0.76619,                0.78924,                0.67731,                 1.0123,               0.070051,              0.0033277,              0.0033277
                      2,                0.92226,                0.76503,                 1.0446,                0.97671,                0.97014,                0.98235,                0.76208,                0.77426,                0.58319,                 1.0166,               0.037853,              0.0044629,              0.0044629
                      3,                0.84273,                0.66472,                 1.0176,                0.99391,                0.96144,                0.98908,                0.80834,                0.70226,                  0.528,                0.95934,              0.0034547,              0.0033981,              0.0033981
