                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.89095,                 1.9807,                0.99559,                0.90113,                0.72222,                0.81345,                0.62883,                0.82031,                 2.6325,                0.98027,             0.00066019,             0.00066019,             0.00066019
                      2,                0.84821,                 1.1905,                0.97998,                0.96027,                0.87037,                0.92083,                 0.7545,                0.73162,                 1.1756,                0.93194,               0.000889,               0.000889,               0.000889
                      3,                0.77564,                0.86459,                0.94822,                0.96552,                 0.9537,                0.95453,                0.80926,                0.60931,                0.78302,                0.86746,              0.0006778,              0.0006778,              0.0006778
