                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6971,                 2.6606,                  1.295,                0.69941,                0.46786,                0.50168,                0.24846,                  1.759,                 1.6698,                 1.2086,               0.070065,              0.0033261,              0.0033261
                      2,                 1.7105,                 1.5685,                 1.2097,                0.73577,                0.54709,                0.59323,                0.27457,                 1.8051,                 1.4433,                 1.2259,               0.037867,              0.0044618,              0.0044618
                      3,                  1.685,                 1.3937,                 1.1888,                0.78965,                0.60603,                0.67136,                0.32801,                 1.6803,                 1.2149,                 1.1555,              0.0034695,              0.0033976,              0.0033976
