                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7989,                 2.8971,                 1.3289,                0.62247,                0.35736,                0.38377,                0.18964,                 1.9184,                 2.5322,                 1.3784,             0.00066523,             0.00066523,             0.00066523
                      2,                  1.809,                 1.9509,                 1.3214,                0.71787,                 0.4006,                0.47104,                0.21351,                 1.9288,                  1.901,                 1.3993,             0.00089237,             0.00089237,             0.00089237
                      3,                 1.7483,                 1.5406,                 1.2778,                0.75536,                0.58146,                0.64278,                 0.2991,                  1.718,                 1.4364,                 1.2313,             0.00067951,             0.00067951,             0.00067951
